,0
0,0.4161637868782504
1,0.24165177732470589
2,0.37048826596296225
3,0.44299966328933327
4,0.125794799109759
5,0.5101762097446162
6,0.96792340489879
7,0.3568645613224424
8,0.7526491543720019
9,0.32925788776256726
10,0.1613688511784862
11,0.37624214924657806
12,0.6491177827554906
13,0.7287861207539479
14,0.5998027908493444
15,0.9554252478738597
16,0.5387655907965343
17,0.2661793153527269
18,0.380109953671088
19,0.7323474801414458
20,0.956933537928419
21,0.42395783997298353
22,0.4274865426594572
23,0.8136652355107573
24,0.9662203047699378
25,0.5399518314938879
26,0.6146813325258029
27,0.8602293828592729
28,0.38718249749409805
29,0.63481514590069
30,0.15697050836444937
31,0.5596253031365612
32,0.7944781238755283
33,0.4741230690022705
34,0.41071351590384886
35,0.6301080959422536
36,0.616436009690953
37,0.252225387779457
38,0.740052446905102
39,0.1817054574887922
40,0.4519047657640546
41,0.5612847928256661
42,0.011517864370646724
43,0.6366887970621251
44,0.5783223054573758
45,0.7180479726575147
46,0.15815058767915102
47,0.4830076140298435
48,0.07316742020717482
49,0.28583405631592607
50,0.3462691751153002
51,0.6831772153110874
52,0.048932548630119865
53,0.17882722404662288
54,0.8813264625468572
55,0.3403838469069077
56,0.6811526750743707
57,0.08337904134753371
58,0.35434103960964747
59,0.41783017929492694
60,0.1198206522873484
61,0.18935516147049558
62,0.765452955428674
63,0.2861133529536465
64,0.983818979712601
65,0.06364271760435858
66,0.6130706734151703
67,0.3267416034740812
68,0.16408853113603805
69,0.09641888809814259
70,0.3396877873721674
71,0.8488898383031505
72,0.003018295213733979
73,0.3757042982643375
74,0.2905968862627867
75,0.9385342483747737
76,0.9474340449858887
77,0.4568472891238451
78,0.8341438018465722
79,0.6049788268485996
80,0.6115419594629351
81,0.29465598127858994
82,0.2039365770940711
83,0.6164947456324754
84,0.38656123673924114
85,0.05092123463922038
86,0.8655192123183147
87,0.9153128077398984
88,0.3173379335009314
89,0.251252967871718
90,0.07303889600372204
91,0.251769434988413
92,0.9343675353740245
93,0.17277287544750197
94,0.9998100065860455
95,0.7014749725374405
96,0.6187548732422127
97,0.46500291752209155
98,0.8629134888051121
99,0.5787540710859442
